Tratamiento,Archivo_Ticket,Calidad_Luz
0.05,resultado_ticket1_1.json,10
0.05,resultado_ticket1_2.json,10
0.05,resultado_ticket1_3.json,10
0.05,resultado_ticket2_1.json,15
0.05,resultado_ticket2_2.json,15
0.05,resultado_ticket2_3.json,15
0.05,resultado_ticket2_4.json,10
0.05,resultado_ticket2_5.json,15
0.05,resultado_ticket2_6.json,15
0.05,resultado_ticket3_1.json,10
0.05,resultado_ticket3_2.json,10
0.05,resultado_ticket3_3.json,10
0.05,resultado_ticket3_4.json,10
0.05,resultado_ticket4_1.json,10
0.05,resultado_ticket4_2.json,10
0.05,resultado_ticket4_3.json,10
0.05,resultado_ticket4_4.json,10
0.05,resultado_ticket5_1.json,10
0.05,resultado_ticket5_2.json,10
0.05,resultado_ticket5_3.json,10
0.05,resultado_ticket5_4.json,10
0.2,resultado_ticket1_1.json,15
0.2,resultado_ticket1_2.json,15
0.2,resultado_ticket1_3.json,20
0.2,resultado_ticket1_4.json,20
0.2,resultado_ticket2_1.json,40
0.2,resultado_ticket2_2.json,40
0.2,resultado_ticket2_3.json,50
0.2,resultado_ticket2_4.json,40
0.2,resultado_ticket3_1.json,20
0.2,resultado_ticket3_2.json,15
0.2,resultado_ticket3_3.json,15
0.2,resultado_ticket3_4.json,15
0.2,resultado_ticket4_1.json,15
0.2,resultado_ticket4_2.json,15
0.2,resultado_ticket4_3.json,15
0.2,resultado_ticket4_4.json,10
0.2,resultado_ticket5_1.json,15
0.2,resultado_ticket5_2.json,15
0.2,resultado_ticket5_3.json,15
0.2,resultado_ticket5_4.json,15
0.89,resultado_ticket1_1.json,70
0.89,resultado_ticket1_2.json,70
0.89,resultado_ticket2_1.json,80
0.89,resultado_ticket2_2.json,70
0.89,resultado_ticket2_3.json,70
0.89,resultado_ticket2_4.json,70
0.89,resultado_ticket3_1.json,70
0.89,resultado_ticket3_2.json,70
0.89,resultado_ticket3_3.json,70
0.89,resultado_ticket4_1.json,60
0.89,resultado_ticket4_2.json,60
0.89,resultado_ticket4_3.json,70
0.89,resultado_ticket4_4.json,60
0.89,resultado_ticket4_5.json,70
0.89,resultado_ticket5_1.json,30
0.89,resultado_ticket5_2.json,30
0.89,resultado_ticket5_3.json,30
0.89,resultado_ticket5_4.json,30
1029.0,resultado_ticket2_1.json,85
1029.0,resultado_ticket2_2.json,60
1029.0,resultado_ticket4_1.json,40
1029.0,resultado_ticket5_1.json,70
11.98,resultado_ticket1_1.json,85
11.98,resultado_ticket1_2.json,70
11.98,resultado_ticket1_3.json,85
11.98,resultado_ticket1_4.json,80
11.98,resultado_ticket2_1.json,90
11.98,resultado_ticket2_2.json,85
11.98,resultado_ticket2_3.json,85
11.98,resultado_ticket2_4.json,85
11.98,resultado_ticket2_5.json,85
11.98,resultado_ticket3_1.json,80
11.98,resultado_ticket3_2.json,85
11.98,resultado_ticket3_3.json,85
11.98,resultado_ticket4_1.json,70
11.98,resultado_ticket4_2.json,70
11.98,resultado_ticket4_3.json,70
11.98,resultado_ticket4_4.json,85
11.98,resultado_ticket4_5.json,80
11.98,resultado_ticket5_1.json,70
11.98,resultado_ticket5_2.json,60
11.98,resultado_ticket5_3.json,70
121.2,resultado_ticket1_1.json,90
121.2,resultado_ticket1_2.json,80
121.2,resultado_ticket1_3.json,80
121.2,resultado_ticket1_4.json,90
121.2,resultado_ticket2_1.json,90
121.2,resultado_ticket2_2.json,90
121.2,resultado_ticket2_3.json,90
141.1,resultado_ticket1_1.json,90
141.1,resultado_ticket1_2.json,90
141.1,resultado_ticket1_3.json,90
141.1,resultado_ticket1_4.json,90
141.1,resultado_ticket2_1.json,90
141.1,resultado_ticket2_2.json,90
141.1,resultado_ticket2_3.json,90
141.1,resultado_ticket2_4.json,90
160.6,resultado_ticket1_1.json,80
160.6,resultado_ticket1_2.json,90
160.6,resultado_ticket1_3.json,80
160.6,resultado_ticket1_4.json,90
160.6,resultado_ticket1_5.json,90
160.6,resultado_ticket2_1.json,90
160.6,resultado_ticket2_2.json,90
160.6,resultado_ticket2_3.json,90
160.6,resultado_ticket2_4.json,90
160.6,resultado_ticket2_5.json,90
160.6,resultado_ticket2_6.json,90
160.6,resultado_ticket2_7.json,90
160.6,resultado_ticket2_8.json,90
18.96,resultado_ticket1_1.json,80
18.96,resultado_ticket1_2.json,90
18.96,resultado_ticket1_3.json,80
18.96,resultado_ticket1_4.json,80
18.96,resultado_ticket2_1.json,90
18.96,resultado_ticket2_2.json,90
18.96,resultado_ticket2_3.json,90
194.9,resultado_ticket1_1.json,80
194.9,resultado_ticket1_2.json,90
194.9,resultado_ticket1_3.json,90
194.9,resultado_ticket1_4.json,80
194.9,resultado_ticket1_5.json,80
194.9,resultado_ticket2_1.json,90
194.9,resultado_ticket2_2.json,90
194.9,resultado_ticket2_3.json,90
194.9,resultado_ticket2_4.json,90
203.5,resultado_ticket1_1.json,90
203.5,resultado_ticket1_2.json,90
203.5,resultado_ticket1_3.json,90
203.5,resultado_ticket2_1.json,90
203.5,resultado_ticket2_2.json,90
203.5,resultado_ticket2_3.json,90
339.7,resultado_ticket1_1.json,90
339.7,resultado_ticket1_2.json,90
339.7,resultado_ticket2_1.json,90
339.7,resultado_ticket2_2.json,90
339.7,resultado_ticket2_3.json,90
43.78,resultado_ticket1_1.json,90
43.78,resultado_ticket1_3.json,80
43.78,resultado_ticket2_1.json,90
43.78,resultado_ticket2_2.json,90
43.78,resultado_ticket2_3.json,90
43.78,resultado_ticket2_4.json,90
452.4,resultado_ticket1_1.json,90
452.4,resultado_ticket1_2.json,80
452.4,resultado_ticket1_3.json,90
452.4,resultado_ticket1_4.json,80
452.4,resultado_ticket2_1.json,90
452.4,resultado_ticket2_2.json,90
452.4,resultado_ticket2_3.json,90
452.4,resultado_ticket2_4.json,90
452.4,resultado_ticket3_1.json,85
452.4,resultado_ticket3_2.json,85
452.4,resultado_ticket3_3.json,85
452.4,resultado_ticket3_4.json,85
452.4,resultado_ticket4_1.json,90
452.4,resultado_ticket4_2.json,90
452.4,resultado_ticket4_3.json,90
452.4,resultado_ticket4_4.json,90
452.4,resultado_ticket5_1.json,70
452.4,resultado_ticket5_2.json,70
452.4,resultado_ticket5_3.json,80
452.4,resultado_ticket5_4.json,80
475.2,resultado_ticket1_1.json,70
475.2,resultado_ticket5_1.json,70
72.3,resultado_ticket1_1.json,80
72.3,resultado_ticket1_2.json,80
72.3,resultado_ticket1_3.json,80
72.3,resultado_ticket1_4.json,80
72.3,resultado_ticket1_5.json,80
72.3,resultado_ticket2_1.json,90
72.3,resultado_ticket2_2.json,90
72.3,resultado_ticket2_3.json,90
72.3,resultado_ticket2_4.json,90
808.3,resultado_ticket1_1.json,90
808.3,resultado_ticket1_2.json,90
808.3,resultado_ticket1_3.json,90
808.3,resultado_ticket2_1.json,90
808.3,resultado_ticket2_2.json,90
808.3,resultado_ticket2_3.json,90
808.3,resultado_ticket2_4.json,90
808.3,resultado_ticket3_1.json,90
808.3,resultado_ticket3_2.json,90
808.3,resultado_ticket3_3.json,90
808.3,resultado_ticket3_4.json,90
808.3,resultado_ticket4_1.json,90
808.3,resultado_ticket4_2.json,90
808.3,resultado_ticket4_3.json,90
808.3,resultado_ticket4_4.json,90
808.3,resultado_ticket5_1.json,80
808.3,resultado_ticket5_2.json,80
808.3,resultado_ticket5_3.json,80
808.3,resultado_ticket5_4.json,80
